"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
" ,2025-07-20,Mumbai (BOM),Srinagar (SXR),A20N (VT-TQT),2:21,1900-01-01 09:40:00,1900-01-01 09:51:00,1900-01-01 12:40:00,1900-01-01 12:12:00,11.0,-28.0,9.0,Sunday,-28.0,9.0,12.0,11.0,-28.0,12.0,6.0,Mumbai (BOM)-Srinagar (SXR),9,6,88,39,11.0"
" ,2025-07-19,Mumbai (BOM),Srinagar (SXR),A20N (VT-TNQ),2:21,1900-01-01 09:40:00,1900-01-01 09:42:00,1900-01-01 12:40:00,1900-01-01 12:02:00,2.0,-38.0,9.0,Saturday,-38.0,9.0,12.0,2.0,-38.0,12.0,5.0,Mumbai (BOM)-Srinagar (SXR),9,5,66,39,2.0"
" ,2025-07-25,Mumbai (BOM),Dhaka (DAC),A21N (VT-IML),2:41,1900-01-01 09:40:00,1900-01-01 10:45:00,1900-01-01 13:10:00,1900-01-01 13:56:00,65.0,46.0,9.0,Friday,46.0,9.0,13.0,65.0,46.0,13.0,4.0,Mumbai (BOM)-Dhaka (DAC),9,4,125,14,65.0"
" ,2025-07-24,Mumbai (BOM),Dhaka (DAC),A21N (VT-IMZ),2:43,1900-01-01 09:40:00,1900-01-01 10:24:00,1900-01-01 13:10:00,1900-01-01 13:36:00,44.0,26.0,9.0,Thursday,26.0,9.0,13.0,44.0,26.0,13.0,3.0,Mumbai (BOM)-Dhaka (DAC),9,3,128,14,44.0"
" ,2025-07-23,Mumbai (BOM),Dhaka (DAC),A21N (VT-IBW),2:35,1900-01-01 09:40:00,1900-01-01 10:37:00,1900-01-01 13:10:00,1900-01-01 13:42:00,57.0,32.0,9.0,Wednesday,32.0,9.0,13.0,57.0,32.0,13.0,2.0,Mumbai (BOM)-Dhaka (DAC),9,2,97,14,57.0"
" ,2025-07-22,Mumbai (BOM),Dhaka (DAC),A21N (VT-ICG),2:42,1900-01-01 09:40:00,1900-01-01 10:23:00,1900-01-01 13:10:00,1900-01-01 13:35:00,43.0,25.0,9.0,Tuesday,25.0,9.0,13.0,43.0,25.0,13.0,1.0,Mumbai (BOM)-Dhaka (DAC),9,1,101,14,43.0"
" ,2025-07-21,Mumbai (BOM),Dhaka (DAC),A21N (VT-ICY),2:52,1900-01-01 09:40:00,1900-01-01 12:23:00,1900-01-01 13:10:00,1900-01-01 15:45:00,163.0,155.0,9.0,Monday,155.0,9.0,13.0,163.0,155.0,13.0,0.0,Mumbai (BOM)-Dhaka (DAC),9,0,110,14,163.0"
" ,2025-07-20,Mumbai (BOM),Dhaka (DAC),A21N (VT-ICY),2:32,1900-01-01 09:40:00,1900-01-01 09:58:00,1900-01-01 13:10:00,1900-01-01 13:00:00,18.0,-10.0,9.0,Sunday,-10.0,9.0,13.0,18.0,-10.0,13.0,6.0,Mumbai (BOM)-Dhaka (DAC),9,6,110,14,18.0"
" ,2025-07-19,Mumbai (BOM),Dhaka (DAC),A21N (VT-IBJ),2:36,1900-01-01 09:40:00,1900-01-01 10:00:00,1900-01-01 13:10:00,1900-01-01 13:05:00,20.0,-5.0,9.0,Saturday,-5.0,9.0,13.0,20.0,-5.0,13.0,5.0,Mumbai (BOM)-Dhaka (DAC),9,5,94,14,20.0"
" ,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A320 (VT-IFP),1:49,1900-01-01 09:40:00,1900-01-01 09:59:00,1900-01-01 11:55:00,1900-01-01 11:48:00,19.0,-7.0,9.0,Friday,-7.0,9.0,11.0,19.0,-7.0,11.0,4.0,Mumbai (BOM)-Chandigarh (IXC),9,4,164,7,19.0"
" ,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-IZE),2:03,1900-01-01 09:40:00,1900-01-01 10:01:00,1900-01-01 11:55:00,1900-01-01 12:04:00,21.0,9.0,9.0,Thursday,9.0,9.0,11.0,21.0,9.0,11.0,3.0,Mumbai (BOM)-Chandigarh (IXC),9,3,51,7,21.0"
" ,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-IIM),2:01,1900-01-01 09:40:00,1900-01-01 10:05:00,1900-01-01 11:55:00,1900-01-01 12:06:00,25.0,11.0,9.0,Wednesday,11.0,9.0,11.0,25.0,11.0,11.0,2.0,Mumbai (BOM)-Chandigarh (IXC),9,2,17,7,25.0"
" ,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-IIX),1:50,1900-01-01 09:40:00,1900-01-01 10:12:00,1900-01-01 11:55:00,1900-01-01 12:02:00,32.0,7.0,9.0,Tuesday,7.0,9.0,11.0,32.0,7.0,11.0,1.0,Mumbai (BOM)-Chandigarh (IXC),9,1,21,7,32.0"
" ,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-IIU),1:54,1900-01-01 09:40:00,1900-01-01 12:42:00,1900-01-01 11:55:00,1900-01-01 14:36:00,182.0,161.0,9.0,Monday,161.0,9.0,11.0,182.0,161.0,11.0,0.0,Mumbai (BOM)-Chandigarh (IXC),9,0,19,7,182.0"
" ,2025-07-20,Mumbai (BOM),Amritsar (ATQ),A320 (VT-IFK),1:52,1900-01-01 09:40:00,1900-01-01 10:03:00,1900-01-01 11:55:00,1900-01-01 11:55:00,23.0,0.0,9.0,Sunday,0.0,9.0,11.0,23.0,0.0,11.0,6.0,Mumbai (BOM)-Amritsar (ATQ),9,6,162,3,23.0"
" ,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-IJX),1:54,1900-01-01 09:40:00,1900-01-01 09:52:00,1900-01-01 11:55:00,1900-01-01 11:46:00,12.0,-9.0,9.0,Saturday,-9.0,9.0,11.0,12.0,-9.0,11.0,5.0,Mumbai (BOM)-Chandigarh (IXC),9,5,24,7,12.0"
" ,2025-07-25,Mumbai (BOM),Udaipur (UDR),A20N (VT-CIO),1:02,1900-01-01 09:45:00,1900-01-01 11:02:00,1900-01-01 11:15:00,1900-01-01 12:04:00,77.0,49.0,9.0,Friday,49.0,9.0,11.0,77.0,49.0,11.0,4.0,Mumbai (BOM)-Udaipur (UDR),9,4,3,42,77.0"
" ,2025-07-24,Mumbai (BOM),Udaipur (UDR),A20N (VT-TYC),1:03,1900-01-01 09:45:00,1900-01-01 10:22:00,1900-01-01 11:15:00,1900-01-01 11:25:00,37.0,10.0,9.0,Thursday,10.0,9.0,11.0,37.0,10.0,11.0,3.0,Mumbai (BOM)-Udaipur (UDR),9,3,92,42,37.0"
" ,2025-07-23,Mumbai (BOM),Udaipur (UDR),A20N (VT-TYB),1:07,1900-01-01 09:45:00,1900-01-01 10:32:00,1900-01-01 11:15:00,1900-01-01 11:39:00,47.0,24.0,9.0,Wednesday,24.0,9.0,11.0,47.0,24.0,11.0,2.0,Mumbai (BOM)-Udaipur (UDR),9,2,91,42,47.0"
" ,2025-07-22,Mumbai (BOM),Udaipur (UDR),A20N (VT-TYB),1:06,1900-01-01 09:45:00,1900-01-01 10:25:00,1900-01-01 11:15:00,1900-01-01 11:31:00,40.0,16.0,9.0,Tuesday,16.0,9.0,11.0,40.0,16.0,11.0,1.0,Mumbai (BOM)-Udaipur (UDR),9,1,91,42,40.0"
" ,2025-07-21,Mumbai (BOM),Udaipur (UDR),A20N (VT-TYB),1:03,1900-01-01 09:45:00,1900-01-01 14:16:00,1900-01-01 11:15:00,1900-01-01 15:19:00,271.0,244.0,9.0,Monday,244.0,9.0,11.0,271.0,244.0,11.0,0.0,Mumbai (BOM)-Udaipur (UDR),9,0,91,42,271.0"
" ,2025-07-20,Mumbai (BOM),Udaipur (UDR),A20N (VT-TYB),1:05,1900-01-01 09:45:00,1900-01-01 10:05:00,1900-01-01 11:15:00,1900-01-01 11:10:00,20.0,-5.0,9.0,Sunday,-5.0,9.0,11.0,20.0,-5.0,11.0,6.0,Mumbai (BOM)-Udaipur (UDR),9,6,91,42,20.0"
" ,2025-07-19,Mumbai (BOM),Udaipur (UDR),A20N (VT-TYE),1:17,1900-01-01 09:45:00,1900-01-01 10:36:00,1900-01-01 11:15:00,1900-01-01 11:53:00,51.0,38.0,9.0,Saturday,38.0,9.0,11.0,51.0,38.0,11.0,5.0,Mumbai (BOM)-Udaipur (UDR),9,5,93,42,51.0"
" ,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCC),1:25,1900-01-01 09:50:00,1900-01-01 10:03:00,1900-01-01 12:00:00,1900-01-01 11:28:00,13.0,-32.0,9.0,Friday,-32.0,9.0,12.0,13.0,-32.0,12.0,4.0,Mumbai (BOM)-Bengaluru (BLR),9,4,141,5,13.0"
" ,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCE),1:21,1900-01-01 09:50:00,1900-01-01 09:49:00,1900-01-01 12:00:00,1900-01-01 11:10:00,-1.0,-50.0,9.0,Thursday,-50.0,9.0,12.0,-1.0,-50.0,12.0,3.0,Mumbai (BOM)-Bengaluru (BLR),9,3,143,5,-1.0"
" ,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCE),1:21,1900-01-01 09:50:00,1900-01-01 10:06:00,1900-01-01 12:00:00,1900-01-01 11:27:00,16.0,-33.0,9.0,Wednesday,-33.0,9.0,12.0,16.0,-33.0,12.0,2.0,Mumbai (BOM)-Bengaluru (BLR),9,2,143,5,16.0"
" ,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCQ),1:15,1900-01-01 09:50:00,1900-01-01 09:57:00,1900-01-01 12:00:00,1900-01-01 11:12:00,7.0,-48.0,9.0,Tuesday,-48.0,9.0,12.0,7.0,-48.0,12.0,1.0,Mumbai (BOM)-Bengaluru (BLR),9,1,146,5,7.0"
" ,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCD),1:26,1900-01-01 09:50:00,1900-01-01 11:08:00,1900-01-01 12:00:00,1900-01-01 12:33:00,78.0,33.0,9.0,Monday,33.0,9.0,12.0,78.0,33.0,12.0,0.0,Mumbai (BOM)-Bengaluru (BLR),9,0,142,5,78.0"
" ,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCD),1:18,1900-01-01 09:50:00,1900-01-01 10:01:00,1900-01-01 12:00:00,1900-01-01 11:19:00,11.0,-41.0,9.0,Sunday,-41.0,9.0,12.0,11.0,-41.0,12.0,6.0,Mumbai (BOM)-Bengaluru (BLR),9,6,142,5,11.0"
" ,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWV),1:21,1900-01-01 09:50:00,1900-01-01 10:06:00,1900-01-01 12:00:00,1900-01-01 11:27:00,16.0,-33.0,9.0,Saturday,-33.0,9.0,12.0,16.0,-33.0,12.0,5.0,Mumbai (BOM)-Bengaluru (BLR),9,5,139,5,16.0"
" ,2025-07-25,Mumbai (BOM),Chennai (MAA),A21N (VT-ILD),1:34,1900-01-01 09:55:00,1900-01-01 10:35:00,1900-01-01 12:00:00,1900-01-01 12:09:00,40.0,9.0,9.0,Friday,9.0,9.0,12.0,40.0,9.0,12.0,4.0,Mumbai (BOM)-Chennai (MAA),9,4,113,8,40.0"
" ,2025-07-24,Mumbai (BOM),Chennai (MAA),A21N (VT-IBJ),1:32,1900-01-01 09:55:00,1900-01-01 10:07:00,1900-01-01 12:00:00,1900-01-01 11:39:00,12.0,-21.0,9.0,Thursday,-21.0,9.0,12.0,12.0,-21.0,12.0,3.0,Mumbai (BOM)-Chennai (MAA),9,3,94,8,12.0"
" ,2025-07-23,Mumbai (BOM),Chennai (MAA),A21N (VT-IME),1:34,1900-01-01 09:55:00,1900-01-01 10:09:00,1900-01-01 12:00:00,1900-01-01 11:44:00,14.0,-16.0,9.0,Wednesday,-16.0,9.0,12.0,14.0,-16.0,12.0,2.0,Mumbai (BOM)-Chennai (MAA),9,2,123,8,14.0"
" ,2025-07-22,Mumbai (BOM),Chennai (MAA),A21N (VT-ICQ),1:36,1900-01-01 09:55:00,1900-01-01 10:07:00,1900-01-01 12:00:00,1900-01-01 11:42:00,12.0,-18.0,9.0,Tuesday,-18.0,9.0,12.0,12.0,-18.0,12.0,1.0,Mumbai (BOM)-Chennai (MAA),9,1,107,8,12.0"
" ,2025-07-21,Mumbai (BOM),Chennai (MAA),A21N (VT-ILH),1:31,1900-01-01 09:55:00,1900-01-01 12:44:00,1900-01-01 12:00:00,1900-01-01 14:15:00,169.0,135.0,9.0,Monday,135.0,9.0,12.0,169.0,135.0,12.0,0.0,Mumbai (BOM)-Chennai (MAA),9,0,115,8,169.0"
" ,2025-07-20,Mumbai (BOM),Chennai (MAA),A21N (VT-ICQ),1:35,1900-01-01 09:55:00,1900-01-01 10:16:00,1900-01-01 12:00:00,1900-01-01 11:50:00,21.0,-10.0,9.0,Sunday,-10.0,9.0,12.0,21.0,-10.0,12.0,6.0,Mumbai (BOM)-Chennai (MAA),9,6,107,8,21.0"
" ,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ICC),1:31,1900-01-01 09:55:00,1900-01-01 09:57:00,1900-01-01 12:00:00,1900-01-01 11:27:00,2.0,-33.0,9.0,Saturday,-33.0,9.0,12.0,2.0,-33.0,12.0,5.0,Mumbai (BOM)-Chennai (MAA),9,5,99,8,2.0"
" ,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-ATV),1:49,1900-01-01 10:00:00,1900-01-01 10:22:00,1900-01-01 12:15:00,1900-01-01 12:11:00,22.0,-4.0,10.0,Friday,-4.0,10.0,12.0,22.0,-4.0,12.0,4.0,Mumbai (BOM)-Delhi (DEL),10,4,0,12,22.0"
" ,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TNE),1:42,1900-01-01 10:00:00,1900-01-01 10:18:00,1900-01-01 12:15:00,1900-01-01 12:00:00,18.0,-15.0,10.0,Thursday,-15.0,10.0,12.0,18.0,-15.0,12.0,3.0,Mumbai (BOM)-Delhi (DEL),10,3,60,12,18.0"
" ,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TNI),1:43,1900-01-01 10:00:00,1900-01-01 10:17:00,1900-01-01 12:15:00,1900-01-01 12:00:00,17.0,-15.0,10.0,Wednesday,-15.0,10.0,12.0,17.0,-15.0,12.0,2.0,Mumbai (BOM)-Delhi (DEL),10,2,62,12,17.0"
" ,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-TNK),2:09,1900-01-01 10:00:00,1900-01-01 10:14:00,1900-01-01 12:15:00,1900-01-01 12:23:00,14.0,8.0,10.0,Tuesday,8.0,10.0,12.0,14.0,8.0,12.0,1.0,Mumbai (BOM)-Delhi (DEL),10,1,64,12,14.0"
" ,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-TQO),1:42,1900-01-01 10:00:00,1900-01-01 12:03:00,1900-01-01 12:15:00,1900-01-01 13:45:00,123.0,90.0,10.0,Monday,90.0,10.0,12.0,123.0,90.0,12.0,0.0,Mumbai (BOM)-Delhi (DEL),10,0,84,12,123.0"
" ,2025-07-20,Mumbai (BOM),Delhi (DEL),A20N (VT-TQN),1:42,1900-01-01 10:00:00,1900-01-01 10:08:00,1900-01-01 12:15:00,1900-01-01 11:50:00,8.0,-25.0,10.0,Sunday,-25.0,10.0,12.0,8.0,-25.0,12.0,6.0,Mumbai (BOM)-Delhi (DEL),10,6,83,12,8.0"
" ,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TQK),1:46,1900-01-01 10:00:00,1900-01-01 10:10:00,1900-01-01 12:15:00,1900-01-01 11:56:00,10.0,-19.0,10.0,Saturday,-19.0,10.0,12.0,10.0,-19.0,12.0,5.0,Mumbai (BOM)-Delhi (DEL),10,5,80,12,10.0"
" ,2025-07-25,Mumbai (BOM),Kolkata (CCU),A21N (VT-IUO),2:29,1900-01-01 10:05:00,1900-01-01 10:48:00,1900-01-01 12:55:00,1900-01-01 13:18:00,43.0,23.0,10.0,Friday,23.0,10.0,12.0,43.0,23.0,12.0,4.0,Mumbai (BOM)-Kolkata (CCU),10,4,134,33,43.0"
" ,2025-07-24,Mumbai (BOM),Kolkata (CCU),A21N (VT-ICI),2:22,1900-01-01 10:05:00,1900-01-01 10:14:00,1900-01-01 12:55:00,1900-01-01 12:36:00,9.0,-19.0,10.0,Thursday,-19.0,10.0,12.0,9.0,-19.0,12.0,3.0,Mumbai (BOM)-Kolkata (CCU),10,3,103,33,9.0"
" ,2025-07-23,Mumbai (BOM),Kolkata (CCU),A21N (VT-IMI),2:21,1900-01-01 10:05:00,1900-01-01 10:21:00,1900-01-01 12:55:00,1900-01-01 12:42:00,16.0,-13.0,10.0,Wednesday,-13.0,10.0,12.0,16.0,-13.0,12.0,2.0,Mumbai (BOM)-Kolkata (CCU),10,2,124,33,16.0"
" ,2025-07-22,Mumbai (BOM),Kolkata (CCU),A21N (VT-ICC),2:20,1900-01-01 10:05:00,1900-01-01 10:17:00,1900-01-01 12:55:00,1900-01-01 12:37:00,12.0,-18.0,10.0,Tuesday,-18.0,10.0,12.0,12.0,-18.0,12.0,1.0,Mumbai (BOM)-Kolkata (CCU),10,1,99,33,12.0"
" ,2025-07-21,Mumbai (BOM),Kolkata (CCU),A21N (VT-ICT),2:24,1900-01-01 10:05:00,1900-01-01 11:26:00,1900-01-01 12:55:00,1900-01-01 13:51:00,81.0,56.0,10.0,Monday,56.0,10.0,12.0,81.0,56.0,12.0,0.0,Mumbai (BOM)-Kolkata (CCU),10,0,108,33,81.0"
" ,2025-07-20,Mumbai (BOM),Kolkata (CCU),A21N (VT-ILI),2:25,1900-01-01 10:05:00,1900-01-01 10:10:00,1900-01-01 12:55:00,1900-01-01 12:36:00,5.0,-19.0,10.0,Sunday,-19.0,10.0,12.0,5.0,-19.0,12.0,6.0,Mumbai (BOM)-Kolkata (CCU),10,6,116,33,5.0"
" ,2025-07-19,Mumbai (BOM),Kolkata (CCU),A21N (VT-ILV),2:24,1900-01-01 10:05:00,1900-01-01 10:27:00,1900-01-01 12:55:00,1900-01-01 12:50:00,22.0,-5.0,10.0,Saturday,-5.0,10.0,12.0,22.0,-5.0,12.0,5.0,Mumbai (BOM)-Kolkata (CCU),10,5,119,33,22.0"
" ,2025-07-25,Mumbai (BOM),Singapore (SIN),A20N (VT-TQF),5:34,1900-01-01 10:05:00,1900-01-01 10:29:00,1900-01-01 18:30:00,1900-01-01 18:33:00,24.0,3.0,10.0,Friday,3.0,10.0,18.0,24.0,3.0,18.0,4.0,Mumbai (BOM)-Singapore (SIN),10,4,77,38,24.0"
" ,2025-07-24,Mumbai (BOM),Singapore (SIN),A20N (VT-TQF),5:29,1900-01-01 10:05:00,1900-01-01 10:06:00,1900-01-01 18:30:00,1900-01-01 18:05:00,1.0,-25.0,10.0,Thursday,-25.0,10.0,18.0,1.0,-25.0,18.0,3.0,Mumbai (BOM)-Singapore (SIN),10,3,77,38,1.0"
" ,2025-07-23,Mumbai (BOM),Singapore (SIN),A21N (VT-TVF),5:24,1900-01-01 10:05:00,1900-01-01 10:24:00,1900-01-01 18:30:00,1900-01-01 18:17:00,19.0,-13.0,10.0,Wednesday,-13.0,10.0,18.0,19.0,-13.0,18.0,2.0,Mumbai (BOM)-Singapore (SIN),10,2,149,38,19.0"
" ,2025-07-22,Mumbai (BOM),Singapore (SIN),A21N (VT-TVF),5:20,1900-01-01 10:05:00,1900-01-01 10:37:00,1900-01-01 18:30:00,1900-01-01 18:26:00,32.0,-4.0,10.0,Tuesday,-4.0,10.0,18.0,32.0,-4.0,18.0,1.0,Mumbai (BOM)-Singapore (SIN),10,1,149,38,32.0"
" ,2025-07-21,Mumbai (BOM),Singapore (SIN),A21N (VT-TVF),5:14,1900-01-01 10:05:00,1900-01-01 12:04:00,1900-01-01 18:30:00,1900-01-01 19:48:00,119.0,78.0,10.0,Monday,78.0,10.0,18.0,119.0,78.0,18.0,0.0,Mumbai (BOM)-Singapore (SIN),10,0,149,38,119.0"
" ,2025-07-20,Mumbai (BOM),Singapore (SIN),A21N (VT-TVF),5:27,1900-01-01 10:05:00,1900-01-01 12:02:00,1900-01-01 18:30:00,1900-01-01 19:59:00,117.0,89.0,10.0,Sunday,89.0,10.0,18.0,117.0,89.0,18.0,6.0,Mumbai (BOM)-Singapore (SIN),10,6,149,38,117.0"
" ,2025-07-19,Mumbai (BOM),Singapore (SIN),A21N (VT-TVD),5:49,1900-01-01 09:15:00,1900-01-01 09:31:00,1900-01-01 17:40:00,1900-01-01 17:49:00,16.0,9.0,9.0,Saturday,9.0,9.0,17.0,16.0,9.0,17.0,5.0,Mumbai (BOM)-Singapore (SIN),9,5,148,38,16.0"
" ,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQE),1:06,1900-01-01 10:05:00,1900-01-01 10:32:00,1900-01-01 11:35:00,1900-01-01 11:38:00,27.0,3.0,10.0,Friday,3.0,10.0,11.0,27.0,3.0,11.0,4.0,Mumbai (BOM)-Hyderabad (HYD),10,4,76,22,27.0"
" ,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQA),1:09,1900-01-01 10:05:00,1900-01-01 10:25:00,1900-01-01 11:35:00,1900-01-01 11:35:00,20.0,0.0,10.0,Thursday,0.0,10.0,11.0,20.0,0.0,11.0,3.0,Mumbai (BOM)-Hyderabad (HYD),10,3,73,22,20.0"
" ,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQU),1:04,1900-01-01 10:05:00,1900-01-01 10:35:00,1900-01-01 11:35:00,1900-01-01 11:38:00,30.0,3.0,10.0,Wednesday,3.0,10.0,11.0,30.0,3.0,11.0,2.0,Mumbai (BOM)-Hyderabad (HYD),10,2,89,22,30.0"
" ,2025-07-22,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQK),1:09,1900-01-01 10:05:00,1900-01-01 10:40:00,1900-01-01 11:35:00,1900-01-01 11:49:00,35.0,14.0,10.0,Tuesday,14.0,10.0,11.0,35.0,14.0,11.0,1.0,Mumbai (BOM)-Hyderabad (HYD),10,1,80,22,35.0"
" ,2025-07-21,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQM),1:06,1900-01-01 10:05:00,1900-01-01 12:09:00,1900-01-01 11:35:00,1900-01-01 13:15:00,124.0,100.0,10.0,Monday,100.0,10.0,11.0,124.0,100.0,11.0,0.0,Mumbai (BOM)-Hyderabad (HYD),10,0,82,22,124.0"
" ,2025-07-20,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQK),1:02,1900-01-01 10:05:00,1900-01-01 10:18:00,1900-01-01 11:35:00,1900-01-01 11:20:00,13.0,-15.0,10.0,Sunday,-15.0,10.0,11.0,13.0,-15.0,11.0,6.0,Mumbai (BOM)-Hyderabad (HYD),10,6,80,22,13.0"
" ,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNJ),1:07,1900-01-01 10:05:00,1900-01-01 10:20:00,1900-01-01 11:35:00,1900-01-01 11:27:00,15.0,-8.0,10.0,Saturday,-8.0,10.0,11.0,15.0,-8.0,11.0,5.0,Mumbai (BOM)-Hyderabad (HYD),10,5,63,22,15.0"
