"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
" ,2025-07-25,Mumbai (BOM),Jabalpur (JLR),A20N (VT-ISP),1:25,1900-01-01 10:10:00,1900-01-01 10:53:00,1900-01-01 12:05:00,1900-01-01 12:18:00,43.0,13.0,10.0,Friday,13.0,10.0,12.0,43.0,13.0,12.0,4.0,Mumbai (BOM)-Jabalpur (JLR),10,4,38,24,43.0"
" ,2025-07-24,Mumbai (BOM),Jabalpur (JLR),A20N (VT-IQG),1:22,1900-01-01 10:10:00,1900-01-01 10:28:00,1900-01-01 12:05:00,1900-01-01 11:50:00,18.0,-15.0,10.0,Thursday,-15.0,10.0,12.0,18.0,-15.0,12.0,3.0,Mumbai (BOM)-Jabalpur (JLR),10,3,33,24,18.0"
" ,2025-07-23,Mumbai (BOM),Jabalpur (JLR),A20N (VT-IIL),1:35,1900-01-01 10:10:00,1900-01-01 10:14:00,1900-01-01 12:05:00,1900-01-01 11:49:00,4.0,-16.0,10.0,Wednesday,-16.0,10.0,12.0,4.0,-16.0,12.0,2.0,Mumbai (BOM)-Jabalpur (JLR),10,2,16,24,4.0"
" ,2025-07-22,Mumbai (BOM),Jabalpur (JLR),A20N (VT-IIE),1:30,1900-01-01 10:10:00,1900-01-01 10:31:00,1900-01-01 12:05:00,1900-01-01 12:01:00,21.0,-4.0,10.0,Tuesday,-4.0,10.0,12.0,21.0,-4.0,12.0,1.0,Mumbai (BOM)-Jabalpur (JLR),10,1,14,24,21.0"
" ,2025-07-21,Mumbai (BOM),Jabalpur (JLR),A20N (VT-ITR),1:27,1900-01-01 10:10:00,1900-01-01 12:31:00,1900-01-01 12:05:00,1900-01-01 13:58:00,141.0,113.0,10.0,Monday,113.0,10.0,12.0,141.0,113.0,12.0,0.0,Mumbai (BOM)-Jabalpur (JLR),10,0,41,24,141.0"
" ,2025-07-20,Mumbai (BOM),Jabalpur (JLR),A320 (VT-IFN),1:29,1900-01-01 10:10:00,1900-01-01 10:20:00,1900-01-01 12:05:00,1900-01-01 11:49:00,10.0,-16.0,10.0,Sunday,-16.0,10.0,12.0,10.0,-16.0,12.0,6.0,Mumbai (BOM)-Jabalpur (JLR),10,6,163,24,10.0"
" ,2025-07-19,Mumbai (BOM),Jabalpur (JLR),A20N (VT-ITR),1:15,1900-01-01 10:10:00,1900-01-01 10:03:00,1900-01-01 12:05:00,1900-01-01 11:18:00,-7.0,-47.0,10.0,Saturday,-47.0,10.0,12.0,-7.0,-47.0,12.0,5.0,Mumbai (BOM)-Jabalpur (JLR),10,5,41,24,-7.0"
" ,2025-07-25,Mumbai (BOM),Dubai (DXB),B77W (A6-EGK),2:27,1900-01-01 10:15:00,1900-01-01 10:50:00,1900-01-01 11:45:00,1900-01-01 11:47:00,35.0,2.0,10.0,Friday,2.0,10.0,11.0,35.0,2.0,11.0,4.0,Mumbai (BOM)-Dubai (DXB),10,4,197,17,35.0"
" ,2025-07-24,Mumbai (BOM),Dubai (DXB),B77W (A6-EGX),2:15,1900-01-01 10:15:00,1900-01-01 10:36:00,1900-01-01 11:45:00,1900-01-01 11:21:00,21.0,-24.0,10.0,Thursday,-24.0,10.0,11.0,21.0,-24.0,11.0,3.0,Mumbai (BOM)-Dubai (DXB),10,3,200,17,21.0"
" ,2025-07-23,Mumbai (BOM),Dubai (DXB),B77W (A6-ENG),2:25,1900-01-01 10:15:00,1900-01-01 10:42:00,1900-01-01 11:45:00,1900-01-01 11:38:00,27.0,-7.0,10.0,Wednesday,-7.0,10.0,11.0,27.0,-7.0,11.0,2.0,Mumbai (BOM)-Dubai (DXB),10,2,201,17,27.0"
" ,2025-07-22,Mumbai (BOM),Dubai (DXB),B77W (A6-EGO),2:21,1900-01-01 10:15:00,1900-01-01 10:48:00,1900-01-01 11:45:00,1900-01-01 11:39:00,33.0,-6.0,10.0,Tuesday,-6.0,10.0,11.0,33.0,-6.0,11.0,1.0,Mumbai (BOM)-Dubai (DXB),10,1,198,17,33.0"
" ,2025-07-21,Mumbai (BOM),Dubai (DXB),B77L (A6-EWF),2:16,1900-01-01 10:15:00,1900-01-01 12:47:00,1900-01-01 11:45:00,1900-01-01 13:32:00,152.0,107.0,10.0,Monday,107.0,10.0,11.0,152.0,107.0,11.0,0.0,Mumbai (BOM)-Dubai (DXB),10,0,193,17,152.0"
" ,2025-07-20,Mumbai (BOM),Dubai (DXB),B77W (A6-EGP),2:22,1900-01-01 10:15:00,1900-01-01 10:34:00,1900-01-01 11:45:00,1900-01-01 11:26:00,19.0,-19.0,10.0,Sunday,-19.0,10.0,11.0,19.0,-19.0,11.0,6.0,Mumbai (BOM)-Dubai (DXB),10,6,199,17,19.0"
" ,2025-07-19,Mumbai (BOM),Dubai (DXB),B77W (A6-EPF),2:30,1900-01-01 10:15:00,1900-01-01 10:53:00,1900-01-01 11:45:00,1900-01-01 11:54:00,38.0,9.0,10.0,Saturday,9.0,10.0,11.0,38.0,9.0,11.0,5.0,Mumbai (BOM)-Dubai (DXB),10,5,202,17,38.0"
" ,2025-07-25,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCF),1:57,1900-01-01 10:20:00,1900-01-01 10:38:00,1900-01-01 12:35:00,1900-01-01 12:34:00,18.0,-1.0,10.0,Friday,-1.0,10.0,12.0,18.0,-1.0,12.0,4.0,Mumbai (BOM)-Varanasi (VNS),10,4,152,43,18.0"
" ,2025-07-24,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCV),1:53,1900-01-01 10:15:00,1900-01-01 10:43:00,1900-01-01 12:35:00,1900-01-01 12:35:00,28.0,0.0,10.0,Thursday,0.0,10.0,12.0,28.0,0.0,12.0,3.0,Mumbai (BOM)-Varanasi (VNS),10,3,153,43,28.0"
" ,2025-07-23,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCF),1:55,1900-01-01 10:30:00,1900-01-01 10:48:00,1900-01-01 12:50:00,1900-01-01 12:44:00,18.0,-6.0,10.0,Wednesday,-6.0,10.0,12.0,18.0,-6.0,12.0,2.0,Mumbai (BOM)-Varanasi (VNS),10,2,152,43,18.0"
" ,2025-07-22,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCV),1:56,1900-01-01 10:20:00,1900-01-01 10:41:00,1900-01-01 12:35:00,1900-01-01 12:36:00,21.0,1.0,10.0,Tuesday,1.0,10.0,12.0,21.0,1.0,12.0,1.0,Mumbai (BOM)-Varanasi (VNS),10,1,153,43,21.0"
" ,2025-07-21,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCF),1:58,1900-01-01 10:20:00,1900-01-01 12:14:00,1900-01-01 12:35:00,1900-01-01 14:12:00,114.0,97.0,10.0,Monday,97.0,10.0,12.0,114.0,97.0,12.0,0.0,Mumbai (BOM)-Varanasi (VNS),10,0,152,43,114.0"
" ,2025-07-20,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCV),1:57,1900-01-01 10:20:00,1900-01-01 10:39:00,1900-01-01 12:35:00,1900-01-01 12:36:00,19.0,1.0,10.0,Sunday,1.0,10.0,12.0,19.0,1.0,12.0,6.0,Mumbai (BOM)-Varanasi (VNS),10,6,153,43,19.0"
" ,2025-07-19,Mumbai (BOM),Varanasi (VNS),A319 (VT-SCF),1:55,1900-01-01 10:20:00,1900-01-01 10:41:00,1900-01-01 12:35:00,1900-01-01 12:36:00,21.0,1.0,10.0,Saturday,1.0,10.0,12.0,21.0,1.0,12.0,5.0,Mumbai (BOM)-Varanasi (VNS),10,5,152,43,21.0"
" ,2025-07-25,Mumbai (BOM),Indore (IDR),A21N (VT-IMZ),0:53,1900-01-01 10:20:00,1900-01-01 11:08:00,1900-01-01 11:45:00,1900-01-01 12:01:00,48.0,16.0,10.0,Friday,16.0,10.0,11.0,48.0,16.0,11.0,4.0,Mumbai (BOM)-Indore (IDR),10,4,128,23,48.0"
" ,2025-07-24,Mumbai (BOM),Indore (IDR),A21N (VT-IBW),0:59,1900-01-01 10:20:00,1900-01-01 10:34:00,1900-01-01 11:45:00,1900-01-01 11:33:00,14.0,-12.0,10.0,Thursday,-12.0,10.0,11.0,14.0,-12.0,11.0,3.0,Mumbai (BOM)-Indore (IDR),10,3,97,23,14.0"
" ,2025-07-23,Mumbai (BOM),Indore (IDR),A21N (VT-ICG),0:57,1900-01-01 10:20:00,1900-01-01 11:52:00,1900-01-01 11:45:00,1900-01-01 12:49:00,92.0,64.0,10.0,Wednesday,64.0,10.0,11.0,92.0,64.0,11.0,2.0,Mumbai (BOM)-Indore (IDR),10,2,101,23,92.0"
" ,2025-07-22,Mumbai (BOM),Indore (IDR),A21N (VT-ICO),0:56,1900-01-01 10:20:00,1900-01-01 10:47:00,1900-01-01 11:45:00,1900-01-01 11:44:00,27.0,-1.0,10.0,Tuesday,-1.0,10.0,11.0,27.0,-1.0,11.0,1.0,Mumbai (BOM)-Indore (IDR),10,1,106,23,27.0"
" ,2025-07-21,Mumbai (BOM),Indore (IDR),A21N (VT-IBO),0:59,1900-01-01 10:20:00,1900-01-01 11:15:00,1900-01-01 11:45:00,1900-01-01 12:14:00,55.0,29.0,10.0,Monday,29.0,10.0,11.0,55.0,29.0,11.0,0.0,Mumbai (BOM)-Indore (IDR),10,0,95,23,55.0"
" ,2025-07-20,Mumbai (BOM),Indore (IDR),A21N (VT-IBY),0:57,1900-01-01 10:20:00,1900-01-01 10:42:00,1900-01-01 11:45:00,1900-01-01 11:39:00,22.0,-6.0,10.0,Sunday,-6.0,10.0,11.0,22.0,-6.0,11.0,6.0,Mumbai (BOM)-Indore (IDR),10,6,98,23,22.0"
" ,2025-07-19,Mumbai (BOM),Indore (IDR),A21N (VT-ILQ),0:59,1900-01-01 10:20:00,1900-01-01 10:48:00,1900-01-01 11:45:00,1900-01-01 11:47:00,28.0,2.0,10.0,Saturday,2.0,10.0,11.0,28.0,2.0,11.0,5.0,Mumbai (BOM)-Indore (IDR),10,5,118,23,28.0"
" ,2025-07-25,Mumbai (BOM),Amritsar (ATQ),A20N (VT-ISM),1:52,1900-01-01 10:25:00,1900-01-01 10:56:00,1900-01-01 12:40:00,1900-01-01 12:48:00,31.0,8.0,10.0,Friday,8.0,10.0,12.0,31.0,8.0,12.0,4.0,Mumbai (BOM)-Amritsar (ATQ),10,4,37,3,31.0"
" ,2025-07-22,Mumbai (BOM),Amritsar (ATQ),A20N (VT-IQA),1:56,1900-01-01 10:25:00,1900-01-01 11:01:00,1900-01-01 12:40:00,1900-01-01 12:57:00,36.0,17.0,10.0,Tuesday,17.0,10.0,12.0,36.0,17.0,12.0,1.0,Mumbai (BOM)-Amritsar (ATQ),10,1,31,3,36.0"
" ,2025-07-20,Mumbai (BOM),Durgapur (RDP),A20N (VT-IPD),2:18,1900-01-01 10:25:00,1900-01-01 10:27:00,1900-01-01 13:00:00,1900-01-01 12:45:00,2.0,-15.0,10.0,Sunday,-15.0,10.0,13.0,2.0,-15.0,13.0,6.0,Mumbai (BOM)-Durgapur (RDP),10,6,25,18,2.0"
" ,2025-07-25,Mumbai (BOM),Bhopal (BHO),A20N (VT-RTJ),1:10,1900-01-01 10:25:00,1900-01-01 12:14:00,1900-01-01 12:05:00,1900-01-01 13:24:00,109.0,79.0,10.0,Friday,79.0,10.0,12.0,109.0,79.0,12.0,4.0,Mumbai (BOM)-Bhopal (BHO),10,4,53,6,109.0"
" ,2025-07-24,Mumbai (BOM),Bhopal (BHO),A20N (VT-EXU),1:08,1900-01-01 10:25:00,1900-01-01 11:31:00,1900-01-01 12:05:00,1900-01-01 12:39:00,66.0,34.0,10.0,Thursday,34.0,10.0,12.0,66.0,34.0,12.0,3.0,Mumbai (BOM)-Bhopal (BHO),10,3,11,6,66.0"
" ,2025-07-23,Mumbai (BOM),Bhopal (BHO),A20N (VT-RTJ),1:14,1900-01-01 10:25:00,1900-01-01 10:51:00,1900-01-01 12:05:00,1900-01-01 12:04:00,26.0,-1.0,10.0,Wednesday,-1.0,10.0,12.0,26.0,-1.0,12.0,2.0,Mumbai (BOM)-Bhopal (BHO),10,2,53,6,26.0"
" ,2025-07-22,Mumbai (BOM),Bhopal (BHO),A20N (VT-CIN),1:05,1900-01-01 10:25:00,1900-01-01 10:53:00,1900-01-01 12:05:00,1900-01-01 11:59:00,28.0,-6.0,10.0,Tuesday,-6.0,10.0,12.0,28.0,-6.0,12.0,1.0,Mumbai (BOM)-Bhopal (BHO),10,1,2,6,28.0"
" ,2025-07-21,Mumbai (BOM),Bhopal (BHO),A321 (VT-PPM),1:19,1900-01-01 10:25:00,1900-01-01 12:51:00,1900-01-01 12:05:00,1900-01-01 14:11:00,146.0,126.0,10.0,Monday,126.0,10.0,12.0,146.0,126.0,12.0,0.0,Mumbai (BOM)-Bhopal (BHO),10,0,166,6,146.0"
" ,2025-07-20,Mumbai (BOM),Bhopal (BHO),A321 (VT-PPO),1:07,1900-01-01 10:25:00,1900-01-01 10:44:00,1900-01-01 12:05:00,1900-01-01 11:51:00,19.0,-14.0,10.0,Sunday,-14.0,10.0,12.0,19.0,-14.0,12.0,6.0,Mumbai (BOM)-Bhopal (BHO),10,6,167,6,19.0"
" ,2025-07-19,Mumbai (BOM),Bhopal (BHO),A321 (VT-PPM),1:05,1900-01-01 10:25:00,1900-01-01 10:35:00,1900-01-01 12:05:00,1900-01-01 11:40:00,10.0,-25.0,10.0,Saturday,-25.0,10.0,12.0,10.0,-25.0,12.0,5.0,Mumbai (BOM)-Bhopal (BHO),10,5,166,6,10.0"
" ,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-TQB),1:42,1900-01-01 10:30:00,1900-01-01 10:59:00,1900-01-01 12:45:00,1900-01-01 12:41:00,29.0,-4.0,10.0,Friday,-4.0,10.0,12.0,29.0,-4.0,12.0,4.0,Mumbai (BOM)-Delhi (DEL),10,4,74,12,29.0"
" ,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TQJ),1:47,1900-01-01 10:30:00,1900-01-01 10:46:00,1900-01-01 12:45:00,1900-01-01 12:33:00,16.0,-12.0,10.0,Thursday,-12.0,10.0,12.0,16.0,-12.0,12.0,3.0,Mumbai (BOM)-Delhi (DEL),10,3,79,12,16.0"
" ,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TQE),1:47,1900-01-01 10:30:00,1900-01-01 10:45:00,1900-01-01 12:45:00,1900-01-01 12:32:00,15.0,-13.0,10.0,Wednesday,-13.0,10.0,12.0,15.0,-13.0,12.0,2.0,Mumbai (BOM)-Delhi (DEL),10,2,76,12,15.0"
" ,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-TNZ),1:58,1900-01-01 10:30:00,1900-01-01 11:07:00,1900-01-01 12:45:00,1900-01-01 13:05:00,37.0,20.0,10.0,Tuesday,20.0,10.0,12.0,37.0,20.0,12.0,1.0,Mumbai (BOM)-Delhi (DEL),10,1,72,12,37.0"
" ,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-TNW),1:48,1900-01-01 10:30:00,1900-01-01 12:49:00,1900-01-01 12:45:00,1900-01-01 14:37:00,139.0,112.0,10.0,Monday,112.0,10.0,12.0,139.0,112.0,12.0,0.0,Mumbai (BOM)-Delhi (DEL),10,0,70,12,139.0"
" ,2025-07-20,Mumbai (BOM),Delhi (DEL),A20N (VT-TNK),1:39,1900-01-01 10:30:00,1900-01-01 10:47:00,1900-01-01 12:45:00,1900-01-01 12:26:00,17.0,-19.0,10.0,Sunday,-19.0,10.0,12.0,17.0,-19.0,12.0,6.0,Mumbai (BOM)-Delhi (DEL),10,6,64,12,17.0"
" ,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TQP),1:37,1900-01-01 10:30:00,1900-01-01 10:45:00,1900-01-01 12:45:00,1900-01-01 12:23:00,15.0,-22.0,10.0,Saturday,-22.0,10.0,12.0,15.0,-22.0,12.0,5.0,Mumbai (BOM)-Delhi (DEL),10,5,85,12,15.0"
" ,2025-07-25,Mumbai (BOM),Darbhanga (DBR),A20N (VT-IJU),2:18,1900-01-01 10:35:00,1900-01-01 11:11:00,1900-01-01 13:05:00,1900-01-01 13:30:00,36.0,25.0,10.0,Friday,25.0,10.0,13.0,36.0,25.0,13.0,4.0,Mumbai (BOM)-Darbhanga (DBR),10,4,23,11,36.0"
" ,2025-07-24,Mumbai (BOM),Deoghar (DGH),A20N (VT-IPD),2:10,1900-01-01 10:45:00,1900-01-01 10:58:00,1900-01-01 13:10:00,1900-01-01 13:08:00,13.0,-2.0,10.0,Thursday,-2.0,10.0,13.0,13.0,-2.0,13.0,3.0,Mumbai (BOM)-Deoghar (DGH),10,3,25,13,13.0"
" ,2025-07-22,Mumbai (BOM),Deoghar (DGH),A20N (VT-IXI),2:14,1900-01-01 10:45:00,1900-01-01 11:05:00,1900-01-01 13:10:00,1900-01-01 13:19:00,20.0,9.0,10.0,Tuesday,9.0,10.0,13.0,20.0,9.0,13.0,1.0,Mumbai (BOM)-Deoghar (DGH),10,1,47,13,20.0"
" ,2025-07-21,Mumbai (BOM),Darbhanga (DBR),A320 (VT-IFN),2:21,1900-01-01 10:35:00,1900-01-01 13:12:00,1900-01-01 13:05:00,1900-01-01 15:33:00,157.0,148.0,10.0,Monday,148.0,10.0,13.0,157.0,148.0,13.0,0.0,Mumbai (BOM)-Darbhanga (DBR),10,0,163,11,157.0"
" ,2025-07-20,Mumbai (BOM),Darbhanga (DBR),A20N (VT-IIH),2:20,1900-01-01 10:35:00,1900-01-01 10:46:00,1900-01-01 13:05:00,1900-01-01 13:06:00,11.0,1.0,10.0,Sunday,1.0,10.0,13.0,11.0,1.0,13.0,6.0,Mumbai (BOM)-Darbhanga (DBR),10,6,15,11,11.0"
" ,2025-07-19,Mumbai (BOM),Deoghar (DGH),A20N (VT-IJQ),2:09,1900-01-01 10:45:00,1900-01-01 10:58:00,1900-01-01 13:10:00,1900-01-01 13:08:00,13.0,-2.0,10.0,Saturday,-2.0,10.0,13.0,13.0,-2.0,13.0,5.0,Mumbai (BOM)-Deoghar (DGH),10,5,22,13,13.0"
" ,2025-07-25,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-ILZ),1:49,1900-01-01 10:35:00,1900-01-01 11:51:00,1900-01-01 12:50:00,1900-01-01 13:40:00,76.0,50.0,10.0,Friday,50.0,10.0,12.0,76.0,50.0,12.0,4.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,4,120,40,76.0"
" ,2025-07-24,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-ILH),1:49,1900-01-01 10:35:00,1900-01-01 11:07:00,1900-01-01 12:50:00,1900-01-01 12:57:00,32.0,7.0,10.0,Thursday,7.0,10.0,12.0,32.0,7.0,12.0,3.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,3,115,40,32.0"
" ,2025-07-23,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-IRV),1:54,1900-01-01 10:35:00,1900-01-01 11:00:00,1900-01-01 12:50:00,1900-01-01 12:53:00,25.0,3.0,10.0,Wednesday,3.0,10.0,12.0,25.0,3.0,12.0,2.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,2,129,40,25.0"
" ,2025-07-22,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-IMU),1:47,1900-01-01 10:35:00,1900-01-01 11:26:00,1900-01-01 12:50:00,1900-01-01 13:12:00,51.0,22.0,10.0,Tuesday,22.0,10.0,12.0,51.0,22.0,12.0,1.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,1,127,40,51.0"
" ,2025-07-21,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-IML),1:50,1900-01-01 10:35:00,1900-01-01 13:51:00,1900-01-01 12:50:00,1900-01-01 15:42:00,196.0,172.0,10.0,Monday,172.0,10.0,12.0,196.0,172.0,12.0,0.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,0,125,40,196.0"
" ,2025-07-20,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-IBJ),1:45,1900-01-01 10:35:00,1900-01-01 11:00:00,1900-01-01 12:50:00,1900-01-01 12:45:00,25.0,-5.0,10.0,Sunday,-5.0,10.0,12.0,25.0,-5.0,12.0,6.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,6,94,40,25.0"
" ,2025-07-19,Mumbai (BOM),Thiruvananthapuram (TRV),A21N (VT-IRX),1:49,1900-01-01 10:35:00,1900-01-01 11:18:00,1900-01-01 12:50:00,1900-01-01 13:07:00,43.0,17.0,10.0,Saturday,17.0,10.0,12.0,43.0,17.0,12.0,5.0,Mumbai (BOM)-Thiruvananthapuram (TRV),10,5,131,40,43.0"
" ,2025-07-25,Mumbai (BOM),Tiruchirapalli (TRZ),A21N (VT-ICZ),1:34,1900-01-01 10:35:00,1900-01-01 11:18:00,1900-01-01 12:40:00,1900-01-01 12:52:00,43.0,12.0,10.0,Friday,12.0,10.0,12.0,43.0,12.0,12.0,4.0,Mumbai (BOM)-Tiruchirapalli (TRZ),10,4,111,41,43.0"
" ,2025-07-24,Mumbai (BOM),Tiruchirapalli (TRZ),A21N (VT-ILC),1:38,1900-01-01 10:35:00,1900-01-01 10:50:00,1900-01-01 12:40:00,1900-01-01 12:28:00,15.0,-12.0,10.0,Thursday,-12.0,10.0,12.0,15.0,-12.0,12.0,3.0,Mumbai (BOM)-Tiruchirapalli (TRZ),10,3,112,41,15.0"
" ,2025-07-23,Mumbai (BOM),Tiruchirapalli (TRZ),A21N (VT-ILC),1:37,1900-01-01 10:35:00,1900-01-01 10:54:00,1900-01-01 12:40:00,1900-01-01 12:31:00,19.0,-9.0,10.0,Wednesday,-9.0,10.0,12.0,19.0,-9.0,12.0,2.0,Mumbai (BOM)-Tiruchirapalli (TRZ),10,2,112,41,19.0"
" ,2025-07-22,Mumbai (BOM),Tiruchirapalli (TRZ),A21N (VT-ILC),1:39,1900-01-01 10:35:00,1900-01-01 11:04:00,1900-01-01 12:40:00,1900-01-01 12:43:00,29.0,3.0,10.0,Tuesday,3.0,10.0,12.0,29.0,3.0,12.0,1.0,Mumbai (BOM)-Tiruchirapalli (TRZ),10,1,112,41,29.0"
" ,2025-07-21,Mumbai (BOM),Tiruchirapalli (TRZ),A21N (VT-ICF),1:35,1900-01-01 10:35:00,1900-01-01 14:01:00,1900-01-01 12:40:00,1900-01-01 15:35:00,206.0,175.0,10.0,Monday,175.0,10.0,12.0,206.0,175.0,12.0,0.0,Mumbai (BOM)-Tiruchirapalli (TRZ),10,0,100,41,206.0"
" ,2025-07-20,Mumbai (BOM),Tiruchirapalli (TRZ),A21N (VT-ICZ),1:37,1900-01-01 10:35:00,1900-01-01 10:50:00,1900-01-01 12:40:00,1900-01-01 12:27:00,15.0,-13.0,10.0,Sunday,-13.0,10.0,12.0,15.0,-13.0,12.0,6.0,Mumbai (BOM)-Tiruchirapalli (TRZ),10,6,111,41,15.0"
